sample_id,variant,method,anchor_layers,context_tokens,max_new_tokens,first_token_match,exact_match,prefix_match_tokens,token_f1,sequence_similarity,reference_continuation_ce,variant_continuation_ce,reference_text,variant_text
2,native_full,full,"8,12,15",512,16,1,1,16,1.0,1.0,0.24764615297317505,0.24764615297317505,\n0.00|玩家基础信息|玩家5520|667,\n0.00|玩家基础信息|玩家5520|667
2,output_full,full,"8,12,15",512,16,1,1,16,1.0,1.0,0.24764615297317505,0.24764615297317505,\n0.00|玩家基础信息|玩家5520|667,\n0.00|玩家基础信息|玩家5520|667
2,native_reconstructed,copy_nearest,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,5.797494411468506,\n0.00|玩家基础信息|玩家5520|667, }\n** }\n** }\n** }\n** }\n** and }\n**. the.\n\n
2,output_reconstructed,copy_nearest,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,8.278502464294434,\n0.00|玩家基础信息|玩家5520|667, }\n** }\n** }\n** }\n** }\n** and }\n �. the.\n\n
2,native_reconstructed,interp,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,9.065462112426758,\n0.00|玩家基础信息|玩家5520|667," [ return [ returnic,-, AS,, is. the. the"
2,output_reconstructed,interp,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,9.065462112426758,\n0.00|玩家基础信息|玩家5520|667," [ return [ returnic,-, AS,, is. the. the"
2,native_reconstructed,adapter,"8,12,15",512,16,0,0,0,0.1875,0.125,0.24764615297317505,4.142828464508057,\n0.00|玩家基础信息|玩家5520|667,-0-0-0-1\nThe best-selling 1/1
2,output_reconstructed,adapter,"8,12,15",512,16,1,0,1,0.0625,0.0625,0.24764615297317505,1.7088786363601685,\n0.00|玩家基础信息|玩家5520|667,\n+7-7-7-7-7-7-7-
3,native_full,full,"8,12,15",512,16,1,1,16,1.0,1.0,0.24764615297317505,0.24764615297317505,\n0.00|玩家基础信息|玩家5520|667,\n0.00|玩家基础信息|玩家5520|667
3,output_full,full,"8,12,15",512,16,1,1,16,1.0,1.0,0.24764615297317505,0.24764615297317505,\n0.00|玩家基础信息|玩家5520|667,\n0.00|玩家基础信息|玩家5520|667
3,native_reconstructed,copy_nearest,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,5.797494411468506,\n0.00|玩家基础信息|玩家5520|667, }\n** }\n** }\n** }\n** }\n** and }\n**. the.\n\n
3,output_reconstructed,copy_nearest,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,8.278502464294434,\n0.00|玩家基础信息|玩家5520|667, }\n** }\n** }\n** }\n** }\n** and }\n �. the.\n\n
3,native_reconstructed,interp,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,9.065462112426758,\n0.00|玩家基础信息|玩家5520|667," [ return [ returnic,-, AS,, is. the. the"
3,output_reconstructed,interp,"8,12,15",512,16,0,0,0,0.0625,0.0625,0.24764615297317505,9.065462112426758,\n0.00|玩家基础信息|玩家5520|667," [ return [ returnic,-, AS,, is. the. the"
3,native_reconstructed,adapter,"8,12,15",512,16,0,0,0,0.1875,0.125,0.24764615297317505,4.142828464508057,\n0.00|玩家基础信息|玩家5520|667,-0-0-0-1\nThe best-selling 1/1
3,output_reconstructed,adapter,"8,12,15",512,16,1,0,1,0.0625,0.0625,0.24764615297317505,1.7088786363601685,\n0.00|玩家基础信息|玩家5520|667,\n+7-7-7-7-7-7-7-
